lang:泰语
baba	พ่อ/บิดา	爸爸
jiu	ในครั้งเดียว	就
kafei	กาแฟ	咖啡
kaishi	เริ่มต้น	开始
kaoshi	เข้ารับการสอบ	考试
keneng	อาจ	可能
ke	หัวข้อ	课
kuai	แก่ง	快
lei	เหนื่อย	累
liang	ทั้งสอง	两
lu	ถนน	路
luyou	ทัวร์	旅游
mai	ขาย	卖
man	ช้า	慢
mang	ยุ่ง	忙
mei	แต่ละ	每
meimei	น้องสาว n̂xng s̄āw	妹妹
men	บานบังคับน้ำ	门
nanren	ผู้ชาย	男人
niunai	นมวัว	牛奶
nuren	ผู้หญิง	女人
pangbian	คลองซอย	旁边
paobu	เดินเร็วๆ	跑步
pianyi	ข้อดีเล็กๆน้อยๆ	便宜
piao	ticket	票
qizi	ภรรยา (panyaa)	妻子
qichuang	การลุกออกจากเตียง	起床
qian	ชิงช้า	千
qing	ล้าง	晴
qunian	ปีที่แล้ว 	去年
rang	ผลผลิต	让
shangban	ไปทำงาน	上班
shenti	ลำตัว	身体
shengbing	ล้มป่วย	生病
shengri	วันเกิด	生日
shiqing	เรื่อง	事情
shoubiao	นาฬิกาข้อมือ	手表
shouji	โทรศัพท์มือถือ	手机
song	นำส่ง	送
suoyi	ดังนั้น	所以
ta	it	它
ti	หัวข้อ	题
tiaowu	เต้นรำ	跳舞
wai	ภายนอก	外
wan	เสร็จสิ้น	完
wan	ของเล่น	玩
wanshang	ตอนเย็น	晚上
wei	ตัวแปรของ 為|为	为
wenti	คำถาม	问题
xigua	แตงโม	西瓜
xiwang	ปรารถนาให้	希望
xiang	ไปยัง	向
xiaoshi	ชั่วโมง	小时
xiao	laugh	笑
xin	ใหม่	新
xing	นามสกุล	姓
xiuxi	ส่วนที่เหลือ	休息
xue	หิมะ	雪
yanse	สี	颜色
yanjing	eye	眼睛
yangrou	เนื้อแกะ	羊肉
yao	ยา	药
yao	สำคัญ	要
ye	นอกจากนี้	也
yijing	already	已经
yiqi	ในที่เดียวกัน	一起
yisi	ทราบ	意思
yin	มีเมฆเต็มท้องฟ้า	阴
yinwei	เพราะว่า	因为
youyong	การว่ายน้ำ	游泳
youbian	ขวา	右边
yu	ปลา	鱼
yuan	หน่วยเงินตราจีน	元
yuan	ไกล	远
yundong	เคลื่อนย้าย	运动
zai	อีกครั้ง	再
zaoshang	เช้าตรู่	早上
zhang	เปิดออก 	张
zhang	หัวหน้า	长
zhangfu	sami	丈夫
zhao	พยายามค้นหา	找
zhe	อนุภาคด้านที่บ่งชี้การดำเนินการที่อยู่ระหว่างดำเนินการ	着
zhen	จริงๆ	真
zhengzai	กระบวนการของ	正在
zhunbei	การเตรียมพร้อม	准备
zixingche	จักรยาน	自行车
zou	เดิน	走
zui	ส่วนใหญ่	最
zuobian	ซ้าย	左边
